d1Length,d2Length,ResultLength,d1rIntersection,d2rIntersection
520,35,3,0,0
520,73,45,36,20
520,52,4,3,2
520,45,38,33,14
520,3,15,11,0
520,6,12,11,1
520,17,14,11,1
520,7,4,2,0
520,8,5,3,0
520,34,15,11,5
520,11,29,22,1
520,26,5,3,1
520,33,14,11,4
520,19,5,3,1
520,18,4,2,0
520,13,29,22,3
520,28,3,0,0
520,16,29,22,4
520,5,29,22,1
520,23,29,22,9
520,8,3,0,0
520,2,4,2,0
520,17,3,0,0
520,19,3,0,0
520,14,38,33,10
520,4,15,11,0
520,15,3,2,0
520,28,4,2,1
520,6,15,11,1
520,5,30,25,1
520,3,2,1,0
520,6,29,22,1
520,7,30,28,2
520,13,29,22,4
520,42,20,19,9
520,5,2,1,0
520,5,29,22,1
520,7,3,0,0
520,19,14,11,2
520,31,3,2,1
520,26,2,1,0
520,12,29,22,1
520,23,2,1,0
520,2,29,22,0
520,7,29,22,2
520,2,4,2,0
520,7,4,2,1
520,2,3,0,0
520,12,29,22,2
520,5,29,22,1
520,7,30,28,6
520,12,12,8,2
520,22,29,22,6
520,8,15,11,2
520,12,29,22,2
520,13,29,22,4
520,24,5,3,1
520,16,30,25,6
520,17,3,0,0
520,5,29,22,1
520,5,2,1,0
520,11,3,0,0
520,5,3,0,0
520,2,5,3,0
520,5,14,11,0
520,18,15,11,1
520,3,3,0,0
520,6,29,22,1
520,5,3,0,0
520,18,3,0,0
520,21,29,22,8
520,13,14,11,3
520,5,3,0,0
520,4,15,11,1
520,12,29,22,3
520,3,4,2,0
520,5,14,11,1
520,6,29,22,0
520,12,29,22,3
520,10,15,11,2
520,18,29,22,5
520,3,29,22,1
520,13,12,8,0
520,10,2,1,1
520,5,29,22,3
520,3,29,22,2
520,6,29,22,1
520,2,3,0,0
520,2,29,22,0
520,3,4,2,0
520,21,5,3,1
343,21,3,2,2
343,8,16,14,0
343,19,16,14,2
343,22,37,26,4
343,7,16,14,0
343,4,16,14,0
343,11,16,14,2
343,22,16,14,1
343,3,16,14,0
343,9,16,14,1
343,30,16,14,4
343,5,16,14,0
343,28,16,14,2
343,7,16,14,1
343,5,4,3,0
343,15,16,14,1
343,20,16,14,3
343,4,4,3,0
343,2,16,14,0
343,2,16,14,0
343,18,12,10,1
343,3,4,3,0
343,30,16,14,3
343,2,4,3,0
343,10,16,14,2
343,2,16,14,0
343,3,4,3,0
343,2,4,3,0
343,13,16,14,1
343,25,16,14,1
343,9,21,16,0
343,15,16,14,2
343,2,4,3,0
343,4,16,14,2
343,35,2,1,1
343,13,16,14,5
343,35,16,14,5
343,8,16,14,0
343,11,16,14,0
343,35,16,14,6
343,33,16,14,4
343,17,16,14,1
343,4,16,14,0
343,33,16,14,2
343,10,16,14,0
343,6,16,14,0
343,19,3,2,0
343,2,4,3,0
343,11,16,14,1
343,20,16,14,2
343,18,9,8,1
343,6,16,14,1
343,4,16,14,0
343,33,36,22,10
343,3,4,3,0
343,7,4,3,0
343,3,4,3,0
343,11,16,14,0
343,3,4,3,0
343,8,16,14,3
343,2,4,3,0
343,4,4,3,0
343,8,4,3,1
343,3,16,14,0
343,6,16,14,1
343,6,16,14,2
343,19,16,14,2
343,18,30,22,4
343,17,16,14,2
343,22,16,14,4
343,7,16,14,2
343,4,4,3,1
343,4,4,3,1
343,11,16,14,5
343,4,16,14,0
343,3,4,3,0
343,19,16,14,2
343,14,16,14,2
343,2,4,3,0
343,46,36,22,16
343,3,16,14,0
343,16,16,14,2
343,3,12,10,1
343,2,4,3,0
343,4,16,14,0
343,5,4,3,0
343,3,4,3,0
343,3,4,3,0
343,4,16,14,1
343,7,16,14,0
343,3,4,3,0
343,6,16,14,0
343,4,4,3,0
343,4,4,3,0
343,33,16,14,1
343,22,3,2,0
343,5,4,3,1
343,12,16,14,3
343,3,16,14,0
343,24,16,14,2
343,4,16,14,1
343,21,12,10,6
343,3,16,14,0
343,4,16,14,1
343,2,4,3,0
343,6,66,45,1
343,23,16,14,3
343,33,16,14,4
343,5,16,14,0
343,15,16,14,1
343,4,16,14,0
343,2,4,3,0
343,11,16,14,1
343,8,3,2,1
343,16,16,14,2
343,10,16,14,0
343,15,16,14,3
343,19,37,26,6
343,4,4,3,0
343,4,4,3,0
343,37,16,14,2
343,10,16,14,1
343,19,16,14,2
343,3,16,14,0
343,3,16,14,0
343,47,16,14,3
343,31,16,14,2
343,4,4,3,0
343,9,16,14,1
343,19,16,14,2
343,6,4,3,1
343,2,4,3,0
343,10,16,14,2
343,12,4,3,0
343,9,16,14,2
343,10,16,14,2
343,4,4,3,1
343,18,13,9,4
343,40,37,26,6
343,6,16,14,1
343,18,16,14,1
343,30,4,3,1
343,13,16,14,1
343,4,16,14,0
343,5,16,14,1
343,5,16,14,0
343,6,16,14,0
343,14,16,14,1
343,29,16,14,4
343,23,4,3,2
343,31,16,14,4
343,12,16,13,4
343,5,4,3,0
343,5,16,14,0
343,15,12,10,4
343,31,37,26,8
343,23,16,14,2
343,15,12,10,1
343,6,16,14,2
343,3,16,14,0
343,17,12,10,1
343,18,16,14,1
343,14,16,14,1
343,4,4,3,0
343,17,16,14,2
343,16,16,14,2
343,17,16,14,1
343,22,16,14,4
343,9,16,14,1
343,9,16,14,2
343,5,4,3,0
343,21,37,26,6
343,4,4,3,0
343,5,16,14,0
343,4,16,14,0
343,8,16,14,1
343,13,16,14,0
343,4,16,14,0
343,13,16,14,3
343,39,16,14,3
343,25,16,14,5
343,41,16,14,5
343,10,4,3,0
343,13,4,3,0
343,8,16,14,1
343,18,12,10,3
343,25,16,14,2
343,21,3,2,0
343,12,16,14,1
343,4,16,14,0
343,39,16,14,3
343,4,16,14,0
343,3,4,3,0
343,2,16,14,0
343,3,4,3,0
343,4,4,3,0
343,4,16,14,0
343,6,4,3,0
343,6,16,14,0
343,33,16,9,5
343,4,4,3,0
343,26,16,14,3
343,31,16,14,2
343,4,4,3,0
343,4,16,14,1
343,4,4,3,0
343,2,16,14,0
343,3,4,3,0
343,2,4,3,0
343,4,4,3,0
343,3,16,14,0
343,4,16,14,0
343,9,16,14,0
343,3,4,3,0
343,5,16,14,2
343,5,4,3,0
343,3,4,3,0
343,5,4,3,0
343,2,4,3,0
343,5,16,14,0
343,10,4,3,0
343,4,16,14,0
343,9,3,2,0
343,14,16,14,2
343,4,4,3,0
343,28,12,10,4
343,6,16,14,0
343,18,16,14,3
343,28,5,4,1
343,3,4,3,0
343,8,16,14,2
343,3,4,3,0
343,4,16,14,0
343,16,16,14,1
343,3,4,3,0
343,7,16,14,0
343,20,16,14,1
343,3,4,3,0
343,2,4,3,0
343,2,4,3,0
343,5,16,14,1
343,24,16,14,3
343,10,16,14,3
343,8,16,14,3
343,13,3,2,2
343,19,16,14,2
343,44,12,10,2
343,6,16,14,1
343,4,16,14,1
343,17,16,14,1
343,8,16,14,1
343,4,4,3,0
343,3,16,14,2
343,3,16,14,0
343,3,4,3,0
343,18,16,14,2
343,34,16,14,3
343,21,16,14,3
343,4,16,14,0
343,11,16,14,2
343,26,16,14,4
343,2,16,14,0
343,16,12,10,3
343,17,16,14,2
343,24,33,25,7
343,3,16,14,1
343,2,16,14,1
343,21,16,14,3
343,7,16,14,1
343,5,4,3,0
343,3,4,3,0
343,33,37,26,10
343,5,16,14,0
343,3,4,3,0
343,9,16,14,1
343,5,16,14,1
343,3,4,3,0
343,2,4,3,0
343,2,16,14,0
343,17,16,14,3
343,18,16,14,4
343,23,16,14,3
343,7,16,14,2
343,5,4,3,0
343,21,12,10,1
343,3,4,3,0
343,4,4,3,0
343,3,4,3,0
343,3,4,3,0
343,4,16,14,1
343,9,16,14,2
343,17,16,14,2
343,14,16,14,0
343,12,12,10,3
343,3,4,3,0
343,18,16,14,3
343,3,4,3,0
343,11,16,14,3
343,6,4,3,0
343,26,3,0,0
343,15,16,14,2
343,3,4,3,0
343,2,4,3,0
343,23,16,14,3
343,3,4,3,0
343,4,4,3,0
343,30,16,14,3
343,24,16,14,2
343,15,41,31,9
343,5,16,14,0
343,9,16,14,0
343,5,16,14,0
343,34,16,14,5
343,17,16,14,1
343,4,4,3,0
343,3,16,14,0
343,10,16,14,1
343,2,4,3,0
343,15,16,14,1
343,6,16,14,1
343,19,16,14,2
343,7,16,14,1
343,24,16,14,2
343,11,16,14,0
343,15,16,14,2
343,2,16,14,0
343,5,16,14,0
343,20,16,14,1
343,15,16,14,4
343,19,16,14,2
343,4,16,14,0
343,8,5,4,0
343,12,5,4,0
343,12,16,14,1
343,4,16,14,1
343,4,16,14,0
343,3,4,3,0
343,16,16,14,0
343,4,5,4,0
343,7,16,14,1
343,5,4,3,0
343,3,4,3,0
343,16,16,14,1
343,3,16,14,0
343,5,4,3,0
343,7,16,14,0
343,4,16,14,1
343,2,4,3,0
343,2,16,14,0
343,3,16,14,0
343,3,4,3,0
343,4,16,14,0
343,10,4,3,0
343,5,4,3,0
343,10,3,2,0
343,4,16,14,1
343,3,16,14,0
343,4,4,3,0
343,9,5,4,0
343,18,16,14,2
343,12,16,14,1
343,10,16,14,1
343,17,37,26,3
343,2,16,14,0
343,7,16,14,0
343,11,16,14,1
343,23,12,10,2
343,6,16,14,0
343,4,4,3,0
343,4,4,3,1
343,14,16,14,1
343,4,16,14,0
343,12,16,14,1
343,18,16,14,0
343,18,16,14,1
343,3,16,14,0
343,11,16,14,1
343,4,16,14,0
343,25,16,14,2
343,13,16,14,2
343,4,16,14,0
343,2,16,14,0
343,10,3,2,1
343,8,5,3,2
343,5,16,14,0
343,8,16,14,1
343,3,4,3,0
343,8,16,14,2
343,5,4,3,0
343,7,4,3,0
343,8,16,14,1
343,21,16,14,2
343,6,4,3,0
343,5,16,14,0
343,5,16,14,1
343,5,4,3,1
343,10,16,14,1
343,5,16,14,0
343,3,4,3,0
343,26,16,14,3
343,36,16,14,5
343,2,4,3,0
343,3,4,3,0
343,5,16,14,0
343,4,4,3,0
343,4,16,14,1
343,6,16,14,0
343,3,4,3,0
343,22,5,4,1
343,5,16,14,0
343,3,4,3,0
343,8,16,14,0
343,5,4,3,0
343,8,16,14,1
343,5,16,14,0
343,4,9,8,0
343,9,16,14,0
343,7,16,14,0
343,7,16,14,1
343,4,16,14,0
343,16,16,14,2
343,6,16,14,0
343,10,16,14,2
343,2,4,3,0
343,4,4,3,0
343,30,12,10,5
343,18,16,14,2
343,18,16,14,0
343,2,16,14,0
343,4,16,14,1
343,11,16,14,1
343,4,16,14,0
343,10,16,14,1
343,2,16,14,0
343,6,5,4,0
343,17,16,14,2
343,7,4,3,0
343,4,16,14,0
343,8,4,3,0
343,4,16,14,1
343,40,37,26,9
343,7,16,14,0
343,14,16,14,0
343,23,16,14,0
343,2,4,3,0
343,3,4,3,0
343,13,16,14,2
343,5,16,14,0
343,5,16,14,0
343,2,4,3,0
343,7,16,14,2
343,13,4,3,0
343,8,16,14,1
343,4,4,3,0
343,25,16,14,2
343,4,4,3,0
343,4,4,3,0
343,8,16,14,1
343,11,16,14,1
343,4,16,14,1
343,5,4,3,0
343,4,16,14,0
343,5,4,3,0
343,5,16,14,2
343,15,16,14,0
343,4,4,3,0
343,7,16,14,1
343,5,4,3,0
343,11,16,14,0
343,18,4,3,0
343,7,16,14,2
343,5,16,14,1
343,18,16,14,2
343,3,16,14,0
343,11,4,3,0
343,7,16,14,1
343,11,16,14,1
343,3,16,14,1
343,4,16,14,0
343,12,16,14,0
343,3,16,14,1
343,23,16,14,2
343,7,4,3,0
343,4,4,3,0
343,4,16,14,1
343,10,16,14,1
343,5,16,14,1
343,8,4,3,1
343,9,16,14,1
343,7,16,14,0
343,7,4,3,1
343,19,16,14,2
343,19,16,14,1
343,4,4,3,1
343,3,4,3,0
343,7,4,3,0
343,4,16,14,0
343,4,4,3,0
343,4,4,3,0
343,4,4,3,0
343,19,12,10,3
343,2,4,3,0
343,14,16,14,3
343,30,2,1,0
343,5,16,14,1
343,11,4,3,0
343,4,4,3,0
343,2,4,3,0
343,7,16,14,0
343,3,4,3,0
343,10,4,3,0
343,10,16,14,0
343,3,16,14,1
343,4,4,3,0
343,3,4,3,0
343,4,4,3,0
343,6,37,26,0
343,4,4,3,0
343,4,4,3,0
343,12,16,14,1
343,3,5,4,0
343,11,16,14,3
343,13,16,14,2
343,5,16,14,0
343,3,4,3,0
343,7,16,14,0
343,6,4,3,0
343,5,16,14,0
343,13,16,14,1
343,11,16,14,1
343,13,16,14,2
343,13,16,14,1
343,11,16,14,1
343,17,16,14,1
343,20,16,14,2
343,4,16,14,0
343,5,4,3,0
343,13,16,14,3
343,7,16,9,0
343,10,10,9,4
343,4,16,14,0
343,6,4,3,0
343,10,16,14,1
343,4,4,3,0
343,7,4,3,0
343,6,16,14,0
343,2,4,3,0
343,4,16,14,0
343,15,16,14,0
343,20,37,26,5
343,11,4,3,2
343,28,16,14,1
343,4,16,14,0
343,3,16,14,0
343,10,16,14,0
343,11,16,14,2
343,4,16,14,0
343,7,16,14,2
343,8,16,14,2
343,25,16,14,4
343,17,16,14,0
343,2,16,14,0
343,3,4,3,0
343,8,4,3,0
343,14,16,14,1
343,41,12,10,2
343,14,16,14,1
343,2,4,3,0
343,17,16,14,1
343,20,16,14,4
343,3,4,3,0
343,5,16,14,0
343,19,12,10,2
343,10,16,14,1
343,4,16,14,0
343,10,16,14,1
343,31,37,26,5
343,3,4,3,0
343,36,37,26,9
343,6,16,14,0
343,3,4,3,0
343,3,4,3,0
343,16,16,14,3
343,3,4,3,0
343,6,4,3,1
343,13,4,3,0
343,10,37,26,1
343,4,4,3,0
343,9,37,26,1
343,4,4,3,0
343,5,16,14,1
343,3,4,3,0
343,8,16,14,0
343,6,16,14,1
343,17,16,14,1
343,5,4,3,0
343,20,16,14,3
343,2,4,3,0
343,8,16,14,1
343,10,16,14,1
343,3,16,14,0
343,8,16,14,0
343,4,16,14,0
343,3,4,3,0
343,13,16,14,1
343,2,4,3,0
343,26,16,14,2
343,2,4,3,0
343,23,37,26,6
343,3,16,14,0
343,7,16,14,2
343,2,16,14,0
343,2,4,3,0
343,16,16,14,2
343,12,37,26,1
343,10,16,14,2
343,2,4,3,0
343,6,4,3,0
343,25,16,14,3
343,8,16,14,0
343,8,16,14,0
343,10,16,14,0
343,2,12,10,0
343,2,4,3,0
343,3,4,3,0
343,2,4,3,0
343,3,4,3,0
343,3,16,14,0
343,27,16,14,4
343,2,16,14,1
343,9,3,2,0
343,2,16,14,1
343,5,16,14,0
343,31,37,26,6
343,5,16,14,1
343,5,37,26,2
343,4,4,3,0
343,44,29,23,10
343,4,4,3,0
343,3,16,14,0
343,8,16,14,1
343,6,16,14,0
343,5,3,2,0
343,2,16,14,1
343,2,4,3,0
343,5,4,3,0
343,5,4,3,0
343,6,16,14,1
343,3,16,14,0
343,5,16,14,1
343,3,4,3,0
343,27,4,3,1
343,2,16,14,1
343,7,16,14,1
343,2,4,3,0
343,3,16,14,0
343,3,16,14,0
343,3,4,3,0
343,2,4,3,0
343,11,5,4,1
343,4,16,14,0
343,2,16,14,0
343,7,16,14,2
343,2,16,14,0
343,7,16,14,1
343,2,16,14,0
343,3,4,3,0
343,5,16,14,0
343,26,16,14,3
343,3,16,14,0
343,2,4,3,0
343,14,16,14,2
343,3,16,14,0
343,8,16,14,1
343,2,16,14,0
343,5,4,3,0
343,2,16,14,0
343,5,4,3,0
343,16,16,14,3
343,4,16,14,0
343,8,4,3,0
343,7,4,3,0
343,8,4,3,0
343,4,16,14,0
343,3,16,14,1
343,2,16,14,0
343,4,4,3,0
343,40,37,26,5
343,6,16,14,1
343,34,37,26,7
343,11,16,14,3
343,16,16,14,2
343,26,16,14,2
343,10,16,14,0
343,10,16,14,4
343,8,16,14,1
343,17,16,14,0
343,11,16,14,0
343,15,16,14,2
343,2,4,3,0
343,2,16,14,1
343,14,16,14,1
343,2,4,3,0
343,16,16,14,3
343,3,16,14,0
343,3,16,14,0
343,5,16,14,0
343,4,4,3,0
343,33,16,14,2
343,10,4,3,0
343,11,4,3,0
343,4,4,3,0
343,21,16,14,5
343,4,4,3,0
343,6,16,14,0
343,2,16,14,0
343,8,16,14,1
343,7,16,14,0
343,6,4,3,0
343,3,16,14,0
343,3,16,14,0
343,18,16,14,1
343,3,3,2,0
343,2,4,3,0
343,5,4,3,0
343,5,4,3,0
343,4,16,14,0
343,7,9,7,3
343,9,16,14,2
343,28,37,26,6
343,3,4,3,0
343,4,4,3,0
343,2,16,14,0
343,2,4,3,0
343,16,4,3,0
343,3,4,3,0
343,23,12,10,2
343,25,37,26,5
343,30,16,14,3
343,3,4,3,1
343,4,16,14,0
343,2,16,14,1
343,4,4,3,0
343,15,16,14,2
343,2,4,3,0
343,5,4,3,0
343,15,16,14,2
343,5,16,14,0
343,2,4,3,0
343,2,4,3,0
343,11,4,3,0
343,2,4,3,0
343,2,16,14,1
343,17,16,14,3
343,5,16,14,0
343,17,12,10,3
343,4,16,14,0
343,3,16,14,0
343,5,4,3,0
343,11,16,14,1
343,7,4,3,0
343,2,16,14,0
343,43,16,14,3
343,9,16,14,1
343,12,16,14,1
343,10,16,14,1
343,4,16,14,0
343,3,16,14,0
343,3,4,3,0
343,4,4,3,0
343,6,4,3,0
343,10,16,14,2
343,10,16,14,1
343,20,16,14,2
343,4,16,14,1
343,8,12,10,2
343,19,4,3,2
343,2,4,3,0
343,4,4,3,0
343,2,4,3,0
343,3,4,3,0
343,24,37,26,5
343,31,15,10,4
343,7,16,14,1
343,26,16,14,2
343,3,4,3,0
343,6,4,3,0
343,14,16,14,2
343,15,16,14,2
343,28,76,53,15
343,7,4,3,0
343,19,16,14,4
343,18,12,10,4
343,24,17,12,5
343,6,4,3,0
343,35,37,26,7
343,28,16,14,3
343,17,16,14,2
343,21,16,14,3
343,6,16,14,1
343,4,4,3,0
343,3,4,3,0
343,10,16,14,4
343,16,16,14,6
343,18,16,14,2
343,30,21,16,3
343,5,16,14,1
343,31,66,45,15
343,9,16,14,2
343,5,16,14,0
343,6,5,4,0
343,18,16,14,4
343,4,16,14,1
343,2,4,3,0
343,16,16,14,3
343,4,16,14,0
343,9,4,3,0
343,6,3,2,0
343,4,4,3,0
343,2,4,3,0
343,7,4,3,0
343,13,16,14,1
343,5,16,14,0
343,6,16,14,0
343,4,16,14,1
343,4,4,3,0
343,29,16,14,1
343,2,4,3,0
343,11,36,24,2
343,8,16,14,0
343,5,4,3,0
343,21,16,14,3
343,3,4,3,0
343,5,4,3,0
343,2,4,3,0
343,6,4,3,0
343,3,4,3,0
343,9,16,14,1
343,4,16,14,0
343,4,4,3,0
343,10,4,3,0
343,19,16,14,2
343,21,16,14,4
343,17,16,14,4
343,3,16,14,0
343,6,4,3,0
343,6,16,14,3
343,3,4,3,0
343,28,16,14,2
343,5,4,3,0
343,2,4,3,0
343,19,4,3,0
343,3,4,3,0
343,2,4,3,0
343,3,16,14,0
343,3,4,3,0
343,7,4,3,0
343,6,4,3,0
343,3,4,3,0
343,3,4,3,0
343,2,4,3,0
343,2,16,14,0
343,5,16,14,0
343,4,16,14,1
343,5,4,3,0
343,4,4,3,0
343,11,12,10,2
343,11,4,3,2
343,5,16,14,1
343,11,16,14,2
343,5,16,14,0
343,2,4,3,0
343,2,16,14,0
343,6,16,14,1
343,5,16,14,1
343,20,16,14,1
343,11,16,14,2
343,11,16,14,1
343,8,16,14,1
343,42,16,14,2
343,5,16,14,0
343,4,16,14,2
343,3,16,14,0
343,5,16,14,1
343,4,16,14,0
343,4,16,14,0
343,3,4,3,0
343,2,16,14,0
343,5,16,14,1
343,2,4,3,0
343,8,16,14,0
343,17,16,14,2
343,6,16,14,0
343,4,4,3,0
343,13,16,14,1
343,25,3,2,1
343,3,4,3,0
343,9,4,3,0
343,3,4,3,0
343,2,4,3,0
343,2,4,3,0
343,8,16,14,1
343,7,16,14,1
343,8,16,14,0
343,4,4,3,0
343,9,16,14,2
343,10,16,14,1
343,9,16,14,0
343,3,16,14,0
343,2,4,3,0
343,21,16,14,2
343,12,12,10,4
343,3,4,3,0
343,11,16,14,2
343,6,16,14,1
343,22,4,3,0
343,19,16,14,3
343,10,16,14,2
343,5,16,14,0
343,5,16,14,0
343,5,4,3,0
343,25,12,10,5
343,21,16,14,4
343,3,16,14,0
343,3,16,14,0
343,4,4,3,0
343,12,16,14,1
343,7,16,14,0
343,25,16,14,4
343,2,5,4,0
343,3,4,3,0
343,5,81,55,3
343,9,30,22,4
343,19,16,14,1
343,8,16,14,1
343,4,16,14,0
343,3,4,3,0
343,12,37,26,6
343,6,16,14,0
343,4,16,14,1
343,16,37,30,5
343,13,16,14,2
343,2,16,14,0
343,4,16,14,0
343,17,16,14,3
343,8,16,14,1
343,2,4,3,0
343,11,17,10,3
343,56,5,4,1
343,3,4,3,0
343,7,16,14,0
343,6,4,3,0
343,5,4,3,0
343,4,16,14,0
343,10,5,4,1
343,10,16,14,0
343,3,4,3,0
343,2,4,3,0
343,3,4,3,0
343,7,16,14,0
343,11,16,14,1
343,9,3,2,0
343,4,4,3,0
343,2,4,3,0
343,2,4,3,0
343,7,16,14,0
343,11,4,3,0
343,5,4,3,0
343,10,4,3,0
343,4,4,3,0
343,11,16,14,1
343,4,4,3,0
343,3,4,3,0
343,2,4,3,0
343,10,4,3,0
343,40,16,14,4
343,6,16,14,0
343,5,16,14,2
343,4,4,3,0
343,5,4,3,0
343,21,16,14,3
343,10,16,14,2
343,2,4,3,0
343,9,16,14,0
343,16,16,14,4
343,16,16,14,1
343,7,4,3,0
343,14,16,14,1
343,3,16,14,0
343,9,16,14,1
343,11,16,14,3
343,18,12,10,1
343,6,16,14,0
343,3,16,14,0
343,7,16,14,1
343,4,16,14,0
343,13,16,14,2
343,8,16,14,0
343,3,16,14,0
343,3,16,14,0
343,3,16,14,0
343,2,4,3,0
343,3,4,3,0
343,6,4,3,0
343,3,16,14,0
343,2,4,3,0
343,3,4,3,0
343,5,16,14,0
343,20,37,26,6
343,2,4,3,0
343,3,16,14,0
343,20,16,14,3
343,13,16,14,2
343,3,16,14,2
343,8,16,14,0
343,2,16,14,0
343,12,16,14,3
343,8,16,14,2
343,4,16,14,0
343,11,16,14,1
343,7,4,3,0
343,4,4,3,0
343,5,16,14,0
343,19,16,14,1
343,3,4,3,0
343,10,16,14,0
343,4,12,10,0
343,3,4,3,0
343,2,4,3,0
343,15,16,14,3
343,6,16,14,2
343,7,16,14,1
343,2,16,14,0
343,3,4,3,0
343,6,16,14,0
343,3,4,3,0
343,3,4,3,0
343,10,36,24,3
343,5,16,14,1
343,5,16,14,0
343,3,3,2,0
343,2,16,14,0
343,4,16,14,0
343,17,4,3,0
343,10,16,14,2
343,13,16,14,2
343,4,4,3,0
343,11,16,14,1
343,8,16,14,2
343,14,16,14,1
343,3,4,3,0
343,4,4,3,0
343,3,4,3,0
343,6,4,3,1
343,2,4,3,0
343,4,16,14,1
343,21,16,14,2
343,3,4,3,0
343,2,16,14,0
343,3,4,3,0
343,9,16,14,2
343,17,16,14,2
343,5,4,3,0
343,3,4,3,0
343,2,4,3,0
343,9,16,14,1
343,2,16,14,0
343,3,4,3,0
343,8,16,9,0
343,9,16,14,1
343,8,4,3,1
343,5,16,14,0
343,5,16,14,0
343,13,16,14,1
343,5,4,3,0
343,3,4,3,0
343,6,16,14,1
343,2,4,3,0
343,4,4,3,0
343,8,16,14,0
343,5,16,14,2
343,10,16,14,0
343,4,16,14,0
343,8,4,3,0
343,4,16,14,0
343,5,4,3,0
343,11,16,14,2
343,5,16,14,0
343,2,4,3,0
343,10,16,14,0
343,9,16,14,1
343,29,16,14,3
343,15,16,14,3
343,10,16,14,0
343,11,12,10,0
343,16,16,14,2
343,6,16,14,1
343,3,16,14,0
343,2,4,3,0
343,4,4,3,0
343,11,16,14,3
343,2,16,14,1
343,7,16,14,2
343,6,16,14,0
343,3,16,14,0
343,7,16,14,2
343,6,16,14,0
343,8,16,14,1
343,2,16,14,1
343,2,4,3,0
343,2,4,3,0
343,4,4,3,0
343,5,16,14,1
343,18,16,14,2
343,2,16,14,1
343,3,16,14,0
343,9,12,10,3
343,19,16,14,4
343,9,37,26,0
343,5,16,14,2
343,6,16,14,0
343,2,4,3,0
343,3,16,14,0
343,11,16,14,2
343,4,16,14,0
343,13,16,14,0
343,4,16,14,0
343,11,16,14,0
343,13,24,14,0
343,12,16,14,0
343,7,16,14,2
343,2,16,14,0
343,6,16,14,1
343,7,16,14,0
343,11,16,14,0
343,2,4,3,0
343,13,16,14,1
343,13,16,14,2
343,3,4,3,0
343,11,15,11,5
343,5,16,14,0
343,8,16,14,1
343,6,16,14,1
343,3,4,3,0
343,2,4,3,0
343,4,4,3,1
343,28,12,10,3
343,22,16,14,3
343,2,16,14,0
343,18,12,10,1
343,3,16,14,1
343,9,16,14,2
343,25,16,14,3
343,3,4,3,0
343,14,12,10,1
343,5,12,10,0
343,4,16,14,1
343,3,16,14,1
343,4,4,3,0
343,3,16,14,1
343,19,12,10,1
343,11,16,14,3
343,3,16,14,0
343,8,16,14,1
343,6,16,14,0
343,4,4,3,0
343,2,4,3,0
343,2,4,3,0
343,15,16,14,0
343,4,4,3,0
343,10,16,14,2
343,4,16,14,1
343,4,16,14,0
343,33,16,14,2
343,9,16,14,4
343,2,4,3,0
343,32,16,14,3
343,2,4,3,0
343,7,16,14,2
343,11,12,10,2
343,19,16,14,2
343,8,16,14,1
343,3,4,3,0
343,4,16,14,2
343,3,16,14,1
343,8,37,30,4
343,8,16,14,1
343,4,4,3,0
343,2,4,3,0
343,3,4,3,0
343,2,4,3,0
343,4,4,3,0
343,7,4,3,0
343,11,12,10,1
343,3,16,14,1
343,5,4,3,0
343,15,16,14,2
343,4,4,3,0
343,5,16,14,2
343,6,16,14,0
343,4,4,3,0
343,4,4,3,0
343,3,4,3,0
343,3,4,3,0
343,2,16,14,1
343,20,16,14,2
343,6,16,14,1
343,4,4,3,0
343,4,4,3,0
343,18,5,4,1
343,14,16,14,0
343,8,4,3,0
343,4,16,14,1
343,18,16,14,3
343,3,4,3,0
343,3,3,2,0
343,6,16,14,0
343,8,4,3,1
343,3,16,14,1
343,5,16,14,1
343,18,16,14,2
343,14,3,2,1
343,7,12,10,1
343,35,36,22,10
343,4,16,14,0
343,19,16,14,5
343,13,16,14,2
343,3,16,14,0
343,18,16,14,3
343,5,16,14,1
343,5,4,3,0
343,7,16,14,0
343,4,4,3,0
343,12,4,3,0
343,4,4,3,0
343,4,4,3,0
343,4,12,10,0
343,6,16,14,0
343,7,16,14,0
343,5,16,14,0
343,5,16,14,1
343,15,16,14,1
343,6,16,14,2
343,4,4,3,0
343,12,4,3,0
343,4,4,3,0
343,9,4,3,1
343,2,4,3,0
343,19,7,6,3
343,5,16,14,1
343,3,4,3,0
343,7,16,14,4
343,4,16,14,1
343,4,16,14,0
343,3,16,14,0
343,2,4,3,0
343,2,4,3,0
343,26,16,14,3
343,2,4,3,0
343,7,16,14,2
343,16,16,14,2
343,2,4,3,0
343,16,16,14,2
343,5,16,14,0
343,25,16,14,2
343,15,16,14,1
343,4,16,14,0
343,7,16,14,0
343,4,16,14,1
343,5,16,14,0
343,6,16,14,0
343,8,16,14,1
343,6,16,14,0
343,4,16,14,1
343,5,16,14,1
343,6,16,14,1
343,7,16,14,1
343,3,16,14,0
343,5,16,14,0
343,5,16,14,1
343,6,16,14,1
343,3,16,14,1
343,3,16,14,1
343,4,16,14,0
343,5,16,14,1
343,2,4,3,0
343,17,16,14,2
343,7,16,14,0
343,25,3,2,0
343,8,4,3,0
343,5,4,3,0
343,8,16,14,0
343,4,4,3,0
343,4,16,14,0
343,3,4,3,0
343,17,16,14,2
343,4,4,3,0
343,5,15,10,1
343,2,16,14,0
343,5,4,3,0
343,11,16,14,3
343,6,16,14,5
343,5,16,14,1
343,4,4,3,0
343,9,4,3,0
